,G,AB,SO,SF,HBP,IBB,SH,BB,H,SB,RBI,HR,2B,3B,RunRating
aaronha01,3298,12364,1383,121,32,293,21,1402,3771,240,2297,755,624,98,4
aaronto01,437,944,145,6,0,3,9,86,216,9,94,13,42,6,1
abbated01,855,3044,16,0,33,0,93,289,772,142,324,11,99,43,2
abbeych01,451,1751,105,0,23,0,18,167,492,93,280,19,67,46,2
abbotfr01,160,513,0,0,8,0,20,19,107,14,49,1,21,6,0
abbotje01,233,596,91,7,3,2,5,38,157,6,83,18,33,2,0
abbotku01,702,2044,571,12,17,11,21,133,523,22,242,62,109,23,1
abernbr01,232,868,93,4,7,1,16,60,212,21,79,8,36,5,0
abnersh01,392,840,153,7,7,10,5,43,191,6,71,11,39,4,0
abramca01,567,1611,290,4,7,2,16,304,433,12,138,32,64,19,1
abreubo01,2425,8480,1840,85,33,115,7,1476,2470,400,1363,288,574,59,4
abreujo02,299,1169,271,5,26,26,0,90,354,3,208,66,69,5,1
abreuto01,224,579,116,8,5,2,1,22,147,2,60,6,39,6,0
abstebi01,170,619,0,0,4,0,29,29,150,21,76,1,22,10,0
ackledu01,607,2064,410,11,5,10,11,186,503,31,212,46,94,18,1
acostme01,180,436,46,0,4,0,19,63,111,17,37,0,9,7,0
adairje01,1165,4019,499,30,17,31,41,208,1022,29,366,57,163,19,2
adamsba01,482,1019,177,0,1,0,35,53,216,1,75,3,31,15,0
adamsbe01,267,678,79,0,1,0,23,23,137,9,45,2,17,4,0
adamsbo03,1281,4019,447,5,17,1,78,414,1082,67,303,37,188,49,3
adamsbu01,576,2003,281,0,13,0,42,234,532,12,249,50,96,12,1
adamsgl01,661,1617,183,19,4,8,9,111,452,6,225,34,79,5,1
adamsma01,337,1084,259,8,3,6,0,64,299,4,156,39,63,5,1
adamsru01,286,884,118,11,5,2,8,85,218,15,113,17,46,7,1
adamssp01,1424,5557,223,0,28,0,136,453,1588,154,394,9,249,48,4
adcocjo01,1959,6606,1059,35,17,55,52,594,1832,20,1122,336,295,35,4
addisbo01,208,534,47,0,0,0,5,37,150,8,47,2,22,2,0
addybo01,274,1231,7,0,0,0,0,19,341,30,172,1,35,12,1
agbaybe01,383,1091,246,8,15,7,1,139,299,16,156,39,57,6,1
ageeto01,1129,3912,918,15,34,26,21,342,999,167,433,130,170,27,3
agganha01,157,517,67,6,0,0,7,57,135,8,67,11,23,9,0
