playerID,Sum - W,Sum - L,Sum - GS,Sum - SHO,Sum - SV,Sum - IPouts,Sum - H,Sum - HR,Sum - BB,Sum - R,Sum - ER,ERA<3.5
aardsda01,16,18,0,0,69,1011,296,41,183,169,160,0
aasedo01,66,60,91,5,82,3328,1085,89,457,503,468,0
abadfe01,5,20,6,0,0,682,220,32,77,99,94,0
abbeybe01,22,40,66,0,1,1704,686,18,192,442,285,0
abbotgl01,62,83,206,5,0,3858,1405,162,352,707,627,0
abbotji01,87,108,254,6,0,5022,1779,154,620,880,791,0
abbotky01,4,17,22,0,0,556,207,26,79,112,107,0
abbotpa01,43,37,112,0,0,2162,682,101,393,421,394,0
aberal01,24,25,30,0,14,1168,398,29,160,205,181,0
abernte02,63,69,34,2,148,3443,1010,70,592,513,441,1
accarje01,10,20,0,0,38,854,288,24,111,143,136,0
aceveal01,31,16,15,0,29,1141,333,48,129,172,162,0
acevejo01,18,25,59,0,1,1105,420,71,113,246,235,0
aceveju01,28,40,34,0,53,1710,597,72,226,316,274,0
ackerji01,33,49,32,0,30,2713,918,82,329,447,399,0
ackerto01,19,13,23,1,8,1141,365,43,150,181,174,0
acostcy01,13,9,0,0,27,558,143,15,77,65,55,1
acostjo01,10,10,13,1,4,640,265,9,68,119,107,0
acostma01,13,13,0,0,9,744,234,30,117,122,110,0
adamsac01,41,33,7,0,49,1658,541,26,224,247,213,1
adamsba01,194,140,355,44,15,8986,2841,68,430,1129,917,1
adamsda01,4,11,16,0,3,513,182,5,65,87,71,0
adamsmi03,21,20,0,0,4,1222,316,33,126,122,109,1
adamste01,51,62,41,0,42,2608,890,63,380,448,403,0
adamswi01,8,16,21,0,2,853,303,8,144,172,138,0
adkingr01,12,27,42,0,1,1089,403,24,156,211,175,0
affelje01,43,46,42,0,28,2778,904,76,396,455,408,0
agostju01,40,33,2,0,29,1879,639,30,248,313,279,0
aguilri01,86,81,89,0,318,3874,1233,138,351,568,512,0
aguirha01,75,72,149,9,33,4127,1216,123,479,562,496,1
aitchra01,12,12,22,3,0,619,193,7,67,98,69,1
akerfda01,9,10,13,0,3,701,216,36,127,146,132,0
akerja01,47,45,0,0,123,2238,679,64,274,312,272,1
alberma01,27,31,23,0,0,1658,551,53,237,280,258,0
albural01,17,6,0,0,1,675,175,16,125,80,80,1
alburvi01,18,17,37,1,1,1118,338,36,220,194,170,0
alcalsa01,14,11,33,1,2,748,257,25,121,138,132,0
aldresc01,20,39,67,0,1,1499,581,78,230,356,334,0
aldrivi01,97,80,205,8,6,4802,1671,87,512,785,668,0
alexado01,194,174,464,18,3,10103,3376,324,978,1541,1406,0
alexape01,373,208,599,90,32,15570,4868,164,951,1851,1476,1
alfonan01,35,37,0,0,129,1839,677,55,250,292,280,0
allenbo04,7,12,0,0,19,822,288,23,132,152,125,0
allenco01,14,11,0,0,60,715,195,18,92,81,70,1
allenfr01,50,67,127,10,3,2911,893,26,373,411,316,1
allenjo02,142,75,241,17,18,5851,1849,104,738,924,813,0
allenll01,8,25,19,0,22,892,291,19,196,183,155,0
allenne01,58,70,59,6,75,2965,985,73,417,464,426,0
allisma01,9,21,27,1,1,740,247,4,67,135,87,1
almanar01,14,13,0,0,2,644,189,34,136,123,115,0
almanca01,13,13,1,0,0,717,252,35,82,134,128,0
alomalu01,18,3,1,1,15,706,212,21,111,98,90,1
altroni01,83,75,161,16,7,4542,1455,17,272,604,445,1
alvarhe01,27,34,92,5,0,1689,596,54,129,261,238,0
alvarwi01,102,92,263,5,4,5243,1624,190,805,857,769,0
amesre01,183,167,367,26,36,9594,2896,42,1034,1311,934,1
anderal02,49,54,128,3,0,2456,901,87,211,424,374,0
anderbo01,36,46,93,1,13,2522,858,80,319,450,398,0
anderbr02,82,83,245,4,1,4641,1743,264,337,897,814,0
anderbr04,37,41,112,1,3,2023,696,59,179,318,279,0
anderch01,15,13,48,0,0,801,275,34,80,131,124,0
andercr01,7,23,17,0,5,577,226,21,81,147,109,0
anderfr01,53,57,114,11,8,2959,912,22,247,415,313,1
anderji02,25,47,96,0,1,1724,672,58,240,371,346,0
anderla02,40,39,1,0,49,2986,932,58,311,402,348,1
anderma01,15,7,0,0,26,770,249,30,157,167,148,0
anderva01,9,20,30,0,0,719,339,13,115,237,164,0
andreiv01,50,59,108,2,8,3123,1151,59,342,562,479,0
andrena01,41,54,97,5,2,2320,798,40,236,350,297,1
andujjo01,127,118,305,19,9,6459,2016,155,731,955,857,0
ankieri01,13,10,41,0,1,726,198,32,130,119,105,0
antonjo02,126,110,268,25,21,5977,1870,185,687,860,739,1
apodabo01,16,25,11,0,26,1084,312,22,131,138,114,1
apontlu01,9,6,0,0,7,660,222,17,68,86,80,1
appieke01,169,137,402,12,0,7786,2425,232,933,1168,1078,0
