,0,1,2,3,4,5,6,7,8,9
2,0.6933389567635906,0.8860973039973615,0.828783708529137,0.8866082654167492,0.9043288604316303,0.9175241070805247,0.874479693645665,0.9285714285714297,0.8965739469593775,0.9751280314054501
3,0.7911841127902692,0.7943285783107378,0.5885995766715886,0.8958425480721307,0.8850512274599761,0.6882970857688989,0.774362454252637,0.7845377186834324,0.8317220096911894,0.8751820149494784
4,0.5966688953614391,0.6688574129693389,0.6797705532911,0.7642881800861795,0.5730715718057504,0.8046186095537028,0.8849988422761033,0.877955424841413,0.8434145481957829,0.8731044547412392
5,0.4648600026554477,0.5680021671924949,0.6119416699661218,0.64860857162047,0.4988951391080322,0.6216926262203886,0.7215030997262514,0.7662362058959431,0.5049544327037795,0.6506084197556947
6,0.592998176691596,0.35537531175113896,0.5043446114816336,0.6146448826513895,0.502761206963556,0.5442674377134644,0.5036809178750091,0.7835567510799438,0.6986321360009463,0.512622133261911
7,0.35517095956313066,0.5434120678014216,0.4222920465385968,0.48611675038402147,0.37247267965422654,0.7675607078314253,0.4136728327795167,0.6181227758699613,0.41634602920845426,0.7207012070250586
8,0.4481435008827256,0.42954262539877947,0.3262923621285816,0.4689332552630213,0.386575533384886,0.18802891545282047,0.28218675747770333,0.5644496382569415,0.40755324927700404,0.45914479635397976
9,0.5066629022238912,0.355916067658874,0.2768690109771493,0.4547961694638156,0.2601617716807667,0.3325933989257787,0.4497745089621048,0.2557239181822877,0.3598573861992453,0.5127284132995765
10,0.2867303938944861,0.5462730170995918,0.28957129352293987,0.3808706538497344,0.21445184128223135,0.31557529026870124,0.31326227837062903,0.44853413577623463,0.3351237120607286,0.29698023813434354
15,4.4420489867970973e-29,2.87388593726919e-30,9.254848887965452e-30,6.29837724413166e-30,0.07142857142857172,3.357844995420938e-30,3.367063334927129e-30,0.052754256153625126,0.07142857142857134,2.574977816634747e-29
20,2.026628789056254e-30,2.57617973958599e-30,1.1826606404074739e-30,4.467609641017697e-30,1.8133010288228942e-30,1.1897610990197849e-30,1.4404846628741167e-30,1.3571138857748715e-30,3.0695823972612008e-30,2.8969214495618965e-30
25,2.4029366583214314e-30,7.034554279650938e-31,1.009641688382989e-30,1.6484193103228382e-30,2.2331659719017755e-30,2.183428562583682e-30,3.1002838294067695e-30,2.7317805990468755e-30,1.5028724958691522e-30,7.155521261911932e-30
30,2.4666627337431015e-30,3.208675987472049e-30,9.12833138942354e-31,1.9165407218392147e-30,1.7412413687138276e-30,1.683141074625644e-30,4.141542267863298e-30,5.225127327704282e-30,3.2349618866491905e-30,3.816747948994444e-30
35,2.4946684031571135e-30,2.9950312079109455e-30,1.1913965671293237e-30,1.2245075714909653e-30,9.443050669016722e-31,2.472128642352131e-30,1.399596529573145e-29,1.3401293700523841e-30,1.2023109616080382e-30,8.090064938223786e-30
40,1.4628746374757686e-30,1.2969857346375501e-30,1.4879541841401913e-30,4.225526482441486e-30,1.2962862433167548e-30,8.554294700390858e-31,2.4324751457401636e-30,6.625163193261756e-31,1.611161257540405e-30,1.2168063484733013e-30
45,6.74433616833821e-31,1.2110909821209706e-30,1.6968344769820265e-30,2.2199423284715214e-30,2.524779567665887e-30,1.147296795516143e-30,8.61309862135951e-31,1.3237621376790598e-30,8.116155770366807e-30,2.193263041536632e-30
50,1.739274192734743e-30,1.5801083614393723e-30,9.20208888931622e-31,1.3399068595884182e-30,2.374822232679134e-30,2.627316470004041e-30,2.7050369809413277e-30,6.798249800036787e-31,9.671983707963964e-31,8.133275296346129e-30
55,1.0425725446521998e-30,3.8453624227241065e-30,1.1703452473647417e-30,3.4156697433105285e-30,2.6333124007713197e-30,1.2305416164735588e-29,1.2652444533926285e-29,1.0400724051613419e-30,8.025760055399841e-31,2.3508915145511284e-30
60,1.2666511529734673e-30,8.89173146163436e-31,3.1466703002382953e-30,1.3975971738290782e-30,3.892505562927062e-30,1.515623155286758e-30,1.729044611067332e-30,1.1868785437891166e-29,1.4498520725587746e-30,3.124878404961394e-30
